pl_name,hostname,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_dens,pl_orbeccen,pl_eqt,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,st_rad,st_age,st_dens,lightyears,planet Type
47 UMa d,47 UMa,d,HD 95128,Gaia DR2 777254360337133312,1,3,0,Radial Velocity,2009,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,14002.0,11.6,,,,,0.16,,,,,,1.21,,0.8366,45,Gas Giant
55 Cnc d,55 Cnc,d,HD 75732,Gaia DR2 704967037090946688,2,5,0,Radial Velocity,2002,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,5574.2,5.54,,,,,0.139,,,,,,0.96,,,41,Gas Giant
61 Vir d,61 Vir,d,HD 115617,Gaia DR2 3507879565090229888,1,3,0,Radial Velocity,2009,Ground,Multiple Observatories,Multiple Telescopes,123.01,0.476,,,,,0.35,,,,,,0.96,8.96,,28,Neptune-Like
CoRoT-7 d,CoRoT-7,d,,Gaia DR2 3107267177757848576,1,3,0,Radial Velocity,2022,Ground,La Silla Observatory,3.6 m ESO Telescope,8.966,,,,17.142,,,,,,,,,1.8,,522,Neptune-Like
DMPP-1 d,DMPP-1,d,HD 38677,Gaia DR2 3011005587574818432,1,4,0,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,2.882,0.0422,,,,,0.07,1632.0,,,,,1.26,2.01,,204,Super Earth
EPIC 201754305 d,K2-16,d,,Gaia DR2 3897048338487064064,1,3,0,Transit,2019,Space,K2,0.95 m Kepler Telescope,2.71578,,1.03,0.092,,,,,,,0.015,,,,,1092,Super Earth
EPIC 206024342 d,EPIC 206024342,d,,Gaia DR2 6839540362940861568,1,3,0,Transit,2021,Space,K2,0.95 m Kepler Telescope,14.647531,,2.6,0.232,,,,,,29.0,0.0217,,1.1,,,1206,Neptune-Like
EPIC 249893012 d,EPIC 249893012,d,,Gaia DR2 6259263137059042048,1,3,0,Transit,2020,Space,K2,0.95 m Kepler Telescope,35.747,0.22,3.94,0.352,10.18,0.91,0.15,752.0,9.56,27.42,0.0211,,1.71,9.0,0.298,1048,Neptune-Like
GJ 1061 d,GJ 1061,d,,Gaia DR2 4848140361962951552,1,3,0,Radial Velocity,2020,Ground,La Silla Observatory,3.6 m ESO Telescope,13.031,0.054,,,,,0.53,,,,,,0.16,7.0,,12,Super Earth
GJ 163 d,GJ 163,d,,Gaia DR2 4780294722094459904,1,3,0,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,603.95116,1.0304,,,,,0.373,,,,,,,,,49,Neptune-Like
GJ 180 d,GJ 180,d,,Gaia DR2 2979590513145784192,1,3,0,Radial Velocity,2020,Ground,Multiple Facilities,Multiple Telescopes,106.3,0.309,,,,,0.14,,,,,,,,,39,Neptune-Like
GJ 3138 d,GJ 3138,d,,Gaia DR2 5144740907820131840,1,3,0,Radial Velocity,2017,Ground,La Silla Observatory,3.6 m ESO Telescope,257.8,0.698,,,,,0.32,,,,,,0.5,,,93,Neptune-Like
GJ 3293 d,GJ 3293,d,,Gaia DR2 4893118771316702720,1,4,0,Radial Velocity,2017,Ground,La Silla Observatory,3.6 m ESO Telescope,48.1345,0.19394,,,,,0.12,,,,,,0.4,,,66,Neptune-Like
GJ 357 d,GJ 357,d,,Gaia DR2 5664814198431308288,1,3,0,Radial Velocity,2019,Multiple Locales,Multiple Observatories,Multiple Telescopes,55.661,0.204,,,,,,220.0,,,,,0.34,,13.6,31,Neptune-Like
GJ 433 d,GJ 433,d,,Gaia DR2 3478160727866058368,1,3,0,Radial Velocity,2020,Ground,Multiple Facilities,Multiple Telescopes,36.059,0.178,,,,,0.07,,,,,,,,,30,Neptune-Like
GJ 676 A d,GJ 676 A,d,,Gaia DR2 5925209583053212800,2,4,0,Radial Velocity,2012,Ground,La Silla Observatory,3.6 m ESO Telescope,3.60076,,,,,,0.262,,,,,,,,,52,Super Earth
GJ 876 d,GJ 876,d,,Gaia DR2 2603090003484152064,1,4,0,Radial Velocity,2005,Ground,W. M. Keck Observatory,10 m Keck I Telescope,1.93778,0.02183,,,,,0.273,,,,,,0.37,,,15,Neptune-Like
GJ 9827 d,GJ 9827,d,,Gaia DR2 2643842302456085888,1,3,0,Transit,2017,Space,K2,0.95 m Kepler Telescope,6.20147,0.05615,2.07,0.185,5.2,3.23,,680.0,1.2264,19.7,0.03093,,0.61,,3.76,97,Neptune-Like
HD 10180 d,HD 10180,d,HD 10180,Gaia DR2 4716158250340258944,1,6,0,Radial Velocity,2010,Ground,La Silla Observatory,3.6 m ESO Telescope,16.357,0.1286,,,,,0.088,,,,,,,4.3,,127,Gas Giant
HD 108236 d,HD 108236,d,HD 108236,Gaia DR2 6125644402384918784,1,5,0,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,14.175685,,2.623,0.234,,,,691.0,3.7543827,,,,0.86,,,211,Neptune-Like
HD 11506 d,HD 11506,d,HD 11506,Gaia DR2 5137855525488932864,1,3,0,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,14723.57452,12.235,,,2346.52713,,0.061,,,,,,,,,167,Gas Giant
HD 125612 d,HD 125612,d,HD 125612,Gaia DR2 6296703260330865536,2,3,0,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,2822.72698,3.982,,,2281.37231,,0.115,,,,,,,,,188,Gas Giant
HD 136352 d,HD 136352,d,HD 136352,Gaia DR2 5902750168276592256,1,3,0,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,107.245,0.425,2.562,0.229,8.82,2.87811,0.0,431.0,8.87,86.46,0.02219,,1.06,12.3,1.0348,48,Neptune-Like
HD 141399 d,HD 141399,d,HD 141399,Gaia DR2 1398218223733415552,1,4,0,Radial Velocity,2014,Ground,Multiple Observatories,Multiple Telescopes,1069.8,2.1348,,,,,0.06,,,,,,1.46,,,121,Gas Giant
HD 142 A d,HD 142,d,HD 142,Gaia DR2 4976894960284258048,2,3,0,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,108.45299,0.474,,,,,0.13,,,,,,,,,85,Gas Giant
HD 153557 d,HD 153557,d,HD 153557,Gaia DR2 1408029509584967168,1,3,0,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,40654.64809,21.449,,,8725.66109,,0.152,,,,,,,,,59,Gas Giant
HD 158259 d,HD 158259,d,HD 158259,Gaia DR2 1416050859226670848,1,5,0,Radial Velocity,2020,Ground,Haute-Provence Observatory,1.93 m Telescope,5.1980814,,,,,,,,,,,,1.21,,,88,Neptune-Like
HD 160691 d,HD 160691,d,HD 160691,Gaia DR2 5945941905576552064,1,4,0,Radial Velocity,2004,Ground,La Silla Observatory,3.6 m ESO Telescope,9.6392,0.09,,,,,0.0,900.0,,,,,,2.0,,51,Neptune-Like
HD 164922 d,HD 164922,d,HD 164922,Gaia DR2 4582680493669880704,1,4,0,Radial Velocity,2020,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,12.458,0.1023,,,,,0.18,,,,,,1.0,,,72,Super Earth
HD 181433 d,HD 181433,d,HD 181433,Gaia DR2 6434153380720177664,1,3,0,Radial Velocity,2008,Ground,La Silla Observatory,3.6 m ESO Telescope,2172.0,3.0,,,,,0.48,,,,,,,,,88,Gas Giant
HD 184010 d,HD 184010,d,HD 184010,Gaia DR2 2024845946447691264,1,3,0,Radial Velocity,2022,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,836.4,1.92,,,,,0.0,,,,,,4.86,2.76,,198,Gas Giant
HD 191939 d,HD 191939,d,HD 191939,Gaia DR2 2248126315275354496,1,6,0,Transit,2020,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,38.353037,0.207,3.04,0.271,5.8,0.5,0.0,549.0,5.5,,0.0302,,0.94,8.7,1.37,175,Neptune-Like
HD 20781 d,HD 20781,d,HD 20781,Gaia DR2 5060105892897388288,2,5,0,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,29.158,0.1647,,,,,0.11,,,,,,,,,117,Neptune-Like
HD 20794 d,HD 20794,d,HD 20794,Gaia DR2 4847957293277762560,1,4,0,Radial Velocity,2011,Ground,La Silla Observatory,3.6 m ESO Telescope,90.309,0.364,,,,,0.25,,,,,,,,,20,Super Earth
HD 215152 d,HD 215152,d,HD 215152,Gaia DR2 2623505219992303104,1,4,0,Radial Velocity,2018,Ground,La Silla Observatory,3.6 m ESO Telescope,10.86499,0.08799,,,,,0.0,,,,,,0.73,,,70,Super Earth
HD 219134 d,HD 219134,d,HD 219134,Gaia DR2 2009481748875806976,1,6,0,Radial Velocity,2015,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,46.859,0.2345,,,,,0.077,,,,,,0.76,,,21,Super Earth
HD 22946 d,HD 22946,d,HD 22946,Gaia DR2 4848767461548943104,1,3,0,Transit,2023,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,47.42489,0.2958,2.607,0.233,26.57,10.8,,546.0,6.482,57.0,0.02141,,1.12,2.5,,205,Neptune-Like
HD 23472 d,HD 23472,d,HD 23472,Gaia DR2 4674216245427964416,1,5,0,Transit,2022,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,3.97664,0.04298,0.75,0.067,0.55,7.5,0.07,909.0,1.99,13.29,0.00975,,0.71,,2.7069,127,Terrestrial
HD 27894 d,HD 27894,d,HD 27894,Gaia DR2 4678605152248591488,1,3,0,Radial Velocity,2017,Ground,La Silla Observatory,3.6 m ESO Telescope,5019.54244,5.448,,,,,0.389,,,,,,,,,143,Gas Giant
HD 28109 d,HD 28109,d,HD 28109,Gaia DR2 4668163021600295552,1,3,0,Transit,2022,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,84.25999,,3.002,0.268,,,,521.0,10.0064967,,,,1.41,,,455,Neptune-Like
HD 31527 d,HD 31527,d,HD 31527,Gaia DR2 2972622770521857664,1,3,0,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,271.6737,0.8098,,,,,0.24,,,,,,,,,125,Neptune-Like
HD 3167 d,HD 3167,d,HD 3167,Gaia DR2 2554032474712538880,1,4,0,Radial Velocity,2017,Ground,Multiple Observatories,Multiple Telescopes,8.4112,0.0763,,,,,0.12,,,,,,0.88,7.8,,154,Super Earth
HD 33142 d,HD 33142,d,HD 33142,Gaia DR2 2986948238799721216,1,3,0,Radial Velocity,2022,Ground,Multiple Observatories,Multiple Telescopes,89.9,0.452,,,,,0.191,,,,,,4.17,2.72,,396,Gas Giant
HD 34445 d,HD 34445,d,HD 34445,Gaia DR2 3241295308714904960,1,6,0,Radial Velocity,2017,Ground,Multiple Observatories,Multiple Telescopes,117.87,0.4817,,,,,0.027,,,,,,1.38,8.5,,150,Neptune-Like
HD 37124 d,HD 37124,d,HD 37124,Gaia DR2 3402798414192387328,1,3,0,Radial Velocity,2005,Ground,W. M. Keck Observatory,10 m Keck I Telescope,1862.0,3.142,,,,,0.297,,,,,,,,,103,Gas Giant
HD 39194 d,HD 39194,d,HD 39194,Gaia DR2 4657193606465368704,1,3,0,Radial Velocity,2021,Ground,La Silla Observatory,3.6 m ESO Telescope,33.91,0.185,,,,,0.333,,,,,,,10.0,,86,Super Earth
HD 40307 d,HD 40307,d,HD 40307,Gaia DR2 4758877919212831104,1,5,0,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,20.432,0.134,,,,,0.122,,,,,,,,,42,Neptune-Like
HD 69830 d,HD 69830,d,HD 69830,Gaia DR2 5726982995343100928,1,3,0,Radial Velocity,2006,Ground,La Silla Observatory,3.6 m ESO Telescope,197.0,0.63,,,,,0.07,,,,,,,7.0,,41,Neptune-Like
HD 7924 d,HD 7924,d,HD 7924,Gaia DR2 560130775546153344,1,3,0,Radial Velocity,2015,Ground,W. M. Keck Observatory,10 m Keck I Telescope,24.451,0.1532,,,,,0.17,,,,,,0.78,,,55,Neptune-Like
HD 93385 d,HD 93385,d,HD 93385,Gaia DR2 5391813299572883456,1,3,0,Radial Velocity,2021,Ground,La Silla Observatory,3.6 m ESO Telescope,45.85,0.2565,,,,,0.09,,,,,,,3.3,,141,Neptune-Like
HD 96700 d,HD 96700,d,HD 96700,Gaia DR2 5452492082132835840,1,3,0,Radial Velocity,2021,Ground,La Silla Observatory,3.6 m ESO Telescope,103.5,0.424,,,,,0.27,,,,,,,8.6,,83,Neptune-Like
HIP 14810 d,HIP 14810,d,,Gaia DR2 60684353135617792,1,3,0,Radial Velocity,2009,Ground,W. M. Keck Observatory,10 m Keck I Telescope,981.8,1.89,,,,,0.173,,,,,,1.0,,,165,Gas Giant
HIP 41378 d,HIP 41378,d,,Gaia DR2 600698184764497664,1,5,0,Transit,2016,Space,K2,0.95 m Kepler Telescope,1114.0,,3.96,0.353,,,,,12.71,,0.0259,,1.4,,,347,Neptune-Like
HIP 57274 d,HIP 57274,d,,Gaia DR2 4021079911593673600,1,3,0,Radial Velocity,2011,Ground,W. M. Keck Observatory,10 m Keck I Telescope,431.7,1.01,,,,,0.27,,,,,,0.68,7.87,,84,Gas Giant
HR 858 d,HR 858,d,HD 17926,Gaia DR2 5064574720469473792,2,3,0,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,11.23,,2.075,0.185,,,,971.0,3.6009978,,,,1.28,,,104,Neptune-Like
HR 8799 d,HR 8799,d,HD 218396,Gaia DR2 2832463659640297472,1,4,0,Imaging,2008,Ground,W. M. Keck Observatory,10 m Keck II Telescope,37000.0,24.0,13.0,1.2,3000.0,,,,,,,,,0.06,,135,Gas Giant
K2-133 d,K2-133,d,,Gaia DR2 148080473682357376,1,4,0,Transit,2017,Space,K2,0.95 m Kepler Telescope,11.02454,0.07487,2.003,0.179,,,,,,,0.0404,,0.46,,,245,Super Earth
K2-136 d,K2-136,d,,Gaia DR2 145916050683920128,2,3,0,Transit,2017,Space,K2,0.95 m Kepler Telescope,25.575,,1.45,0.129,,,0.14,373.0,3.12,50.7,0.0201,,0.66,,3.52,193,Super Earth
K2-138 d,K2-138,d,,Gaia DR2 2413596935442139520,1,6,0,Transit,2017,Space,K2,0.95 m Kepler Telescope,5.40479,0.05893,2.39,0.213,7.92,3.1,0.043,,2.7,14.7,0.02532,,0.86,2.8,2.064,661,Super Earth
K2-148 d,K2-148,d,,Gaia DR2 2536443724641751808,2,3,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,9.7579,,0.88,0.079,,,,,1.8,35.9,0.0217,,0.37,,,406,Super Earth
K2-155 d,K2-155,d,,Gaia DR2 145333927996558976,1,3,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,40.718,0.1937,1.9,0.17,,,,381.0,4.464,63.3,0.0273,,0.58,,,237,Super Earth
K2-165 d,K2-165,d,,Gaia DR2 3700016198387202304,1,3,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,14.101361,,3.191,0.285,,,,629.0,2.7078373,,,,0.84,,,439,Neptune-Like
K2-183 d,K2-183,d,,Gaia DR2 652007410271734912,1,3,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,22.620344,,17.4,1.55,,,,,4.14,,0.1729,,0.92,,,1073,Neptune-Like
K2-187 d,K2-187,d,,Gaia DR2 689268759823937280,1,4,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,7.149584,,2.4,0.214,,,,,,18.0,0.0259,,0.83,,,1079,Neptune-Like
K2-19 d,K2-19,d,,Gaia DR2 3798833775141351552,1,3,0,Transit,2016,Space,K2,0.95 m Kepler Telescope,2.5081,0.036,1.22,0.109,,,,,1.93,,0.011,,1.01,,,945,Super Earth
K2-198 d,K2-198,d,,Gaia DR2 3628687065162340224,1,3,0,Transit,2019,Space,K2,0.95 m Kepler Telescope,7.4500177,,,,,,,,2.61,,0.0261,,0.78,,2.5964,361,Neptune-Like
K2-219 d,K2-219,d,,Gaia DR2 2581741400387500544,1,3,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,11.137278,,2.84,0.253,,,,,4.896,15.7,0.01969,,1.32,,,1061,Neptune-Like
K2-233 d,K2-233,d,,Gaia DR2 6253186686054822784,1,3,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,24.3645,0.1527,2.64,0.236,,,0.0,482.0,3.808,44.2,0.03254,,0.74,0.36,,220,Super Earth
K2-239 d,K2-239,d,,Gaia DR2 3857872051994269824,1,3,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,10.115,0.0685,1.1,0.098,,,,399.0,1.8384,38.8,0.0255,,0.36,,,101,Super Earth
K2-266 d,K2-266,d,,Gaia DR2 3855246074629979264,2,4,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,14.697,,3.246,0.29,,,,513.0,3.9539653,,,,0.73,,,253,Neptune-Like
K2-268 d,K2-268,d,,Gaia DR2 604743013163971072,1,5,0,Transit,2019,Space,K2,0.95 m Kepler Telescope,4.528598,,1.49,0.133,,,,888.0,2.57,12.57,0.0173,,0.78,,,1069,Super Earth
K2-285 d,K2-285,d,,Gaia DR2 2657374606238804992,1,4,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,10.45582,0.1178,2.48,0.221,6.5,,0.0,620.0,2.504,32.2,0.0289,,0.79,,2.512,505,Neptune-Like
K2-3 d,K2-3,d,,Gaia DR2 3796690380302214272,1,3,0,Transit,2015,Space,K2,0.95 m Kepler Telescope,44.55603,0.2076,1.52,0.14,,,,,3.98,78.7402,0.0248,,0.56,1.0,,144,Super Earth
K2-32 d,K2-32,d,,Gaia DR2 4130539180358512768,2,4,0,Transit,2016,Space,K2,0.95 m Kepler Telescope,31.71701,0.1862,3.43,0.306,10.3,1.38,0.0,537.0,,,,,0.84,7.9,,514,Neptune-Like
K2-352 d,K2-352,d,,Gaia DR2 632634358985725184,1,3,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,14.871387,,2.23,0.199,,,,727.0,4.14,25.94,0.0214,,0.95,,,574,Neptune-Like
K2-368 d,K2-368,d,,Gaia DR2 2613924969021549440,1,3,0,Transit,2022,Space,K2,0.95 m Kepler Telescope,20.201085,,1.89,0.169,,,,,3.576,39.2,0.03,,0.58,,,674,Super Earth
K2-37 d,K2-37,d,,Gaia DR2 6049595065740634624,1,3,0,Transit,2016,Space,K2,0.95 m Kepler Telescope,14.09189,0.1102,2.59,0.231,,,,,2.65,,0.0271,,0.87,,,587,Neptune-Like
K2-381 d,K2-381,d,,Gaia DR2 4081376064109034496,1,3,0,Transit,2022,Space,K2,0.95 m Kepler Telescope,26.803023,,1.532,0.14,,,,,,55.979016,0.02175,,0.65,,,475,Super Earth
K2-384 d,K2-384,d,,Gaia DR2 2535107508776249856,1,5,0,Transit,2022,Space,K2,0.95 m Kepler Telescope,6.679582,,1.1,0.098,,,,,1.512,30.4,0.0393,,0.26,,,270,Super Earth
K2-58 d,K2-58,d,,Gaia DR2 2599975224481836672,1,3,0,Transit,2016,Space,K2,0.95 m Kepler Telescope,22.8827,0.1517,1.71,0.153,,,,,3.2,,0.018,,0.86,,,593,Super Earth
K2-72 d,K2-72,d,,Gaia DR2 2615653023342995584,1,4,0,Transit,2016,Space,K2,0.95 m Kepler Telescope,7.760178,0.0461,0.73,0.065,,,,,1.45,,0.0286,,0.23,,,217,Super Earth
K2-80 d,K2-80,d,,Gaia DR2 38723395078288256,1,3,0,Transit,2018,Space,K2,0.95 m Kepler Telescope,28.867253,,2.552,0.228,,,,,,45.619404,0.02781,,0.84,,,655,Neptune-Like
KIC 10001893 d,KIC 10001893,d,,Gaia DR2 2130473176626619136,1,3,0,Orbital Brightness Modulation,2014,Space,Kepler,0.95 m Kepler Telescope,0.81161,,,,,,,,,,,,,,,5456,Unknown
KOI-1831 d,Kepler-324,d,,Gaia DR2 2132078120004385152,1,4,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,34.169,0.1949,1.1,,,,0.0,471.0,5.1691,48.562056,0.01223,,0.83,,1.8516,1636,Super Earth
KOI-1833 d,Kepler-968,d,,Gaia DR2 2132152474478407040,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,7.685,0.0632,1.95,,,,0.0,586.0,1.174,49.2,0.03099,,0.58,,38.1846,947,Super Earth
KOI-351 d,KOI-351,d,,Gaia DR2 2132193431285570304,1,8,0,Transit,2013,Space,Kepler,0.95 m Kepler Telescope,59.73667,0.308,2.84,,,,0.0,520.0,8.0006,58.2791,0.02168,,1.2,,1.0493,2767,Neptune-Like
KOI-94 d,KOI-94,d,,Gaia DR2 2076970047474270208,2,4,0,Transit,2013,Space,Kepler,0.95 m Kepler Telescope,22.342989,0.1596,9.77,,,,0.0,767.0,6.68603,27.2965,0.06897,,1.3,,0.7707,1556,Gas Giant
Kepler-10 d,Kepler-10,d,,Gaia DR2 2132155017099178624,1,3,0,Radial Velocity,2023,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,151.04,0.5379,,,,,0.26,,,,,,1.06,10.6,,605,Neptune-Like
Kepler-100 d,Kepler-100,d,,Gaia DR2 2101733244046205568,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,35.3331,,,,,,,,6.2276,,,,1.56,,0.3946,994,Super Earth
Kepler-102 d,Kepler-102,d,,Gaia DR2 2119583201145735808,1,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,10.311767,0.0837,1.4,,,,0.0,638.0,3.205,16.43,0.01695,,0.76,,0.7888,352,Super Earth
Kepler-104 d,Kepler-104,d,,Gaia DR2 2102454253097554304,2,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,51.755394,,,,,,,,7.5456,,,,1.05,,1.3035,1307,Neptune-Like
Kepler-106 d,Kepler-106,d,,Gaia DR2 2082074942519913344,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,23.9802,0.163,0.93,,,,0.0,653.0,4.6787,36.0,0.00824,,1.04,5.2,,1449,Terrestrial
Kepler-107 d,Kepler-107,d,,Gaia DR2 2086625752425381632,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,7.95839,,1.09,0.097,,,,,4.384,,0.00694,,1.42,5.37,,1716,Super Earth
Kepler-1073 d,Kepler-1073,d,,Gaia DR2 2052069201482198784,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,2.50476003,0.035,1.16,,,,0.0,1235.0,2.523,6.82,0.01277,,0.83,,0.9585,2641,Super Earth
Kepler-11 d,Kepler-11,d,,Gaia DR2 2076960598545789824,1,6,0,Transit,2010,Space,Kepler,0.95 m Kepler Telescope,22.6845,0.159,3.43,0.306,6.1,,0.0,,5.58,,,,1.1,8.0,,2108,Neptune-Like
Kepler-1130 d,Kepler-1130,d,,Gaia DR2 2106406069684947840,2,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,4.27225018,0.0506,0.64,,,,0.0,981.0,2.113,10.53,0.00695,,0.84,,1.2086,813,Terrestrial
Kepler-114 d,Kepler-114,d,,Gaia DR2 2128939873302216320,1,3,0,Transit,2013,Space,Kepler,0.95 m Kepler Telescope,11.776,0.0835,2.05,,,,0.0,447.0,2.9021,29.2,0.03471,,0.54,,3.3926,846,Neptune-Like
Kepler-122 d,Kepler-122,d,,Gaia DR2 2053070616052194304,1,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,21.587475,,,,,,,,,,,,1.26,,0.7866,3351,Neptune-Like
Kepler-124 d,Kepler-124,d,,Gaia DR2 2131287021388901504,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,30.950851,0.17,1.11,0.099,,,,,4.196,,,,0.64,,,1370,Super Earth
Kepler-1254 d,Kepler-1254,d,,Gaia DR2 2131968065762170624,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,5.72717226,0.058,1.35,,,,0.0,817.0,2.177,19.64,0.01634,,0.76,,4.3695,2031,Super Earth
Kepler-126 d,Kepler-126,d,,Gaia DR2 2126918008858627712,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,100.283134,,,,,,,,10.9724,,,,1.45,,0.5566,774,Gas Giant
