pl_name,hostname,pl_letter,hd_name,gaia_id,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_masse,pl_dens,pl_orbeccen,pl_eqt,pl_trandur,pl_ratdor,pl_ratror,pl_occdep,st_rad,st_age,st_dens,lightyears,planet Type
Kepler-127 d,Kepler-127,d,,Gaia DR2 2107266570672734592,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,48.630408,,,,,,,,,,,,1.45,,0.5272,1151,Neptune-Like
Kepler-129 d,Kepler-129,d,,Gaia DR2 2131494313689868416,1,3,0,Radial Velocity,2021,Ground,W. M. Keck Observatory,10 m Keck I Telescope,2646.0,4.0,,,,,0.15,,,,,,1.65,6.43,,1333,Gas Giant
Kepler-130 d,Kepler-130,d,,Gaia DR2 2101305259145506816,2,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,87.517905,,1.31,0.117,,,0.8,,,,,,1.18,,0.9379,1033,Super Earth
Kepler-1311 d,Kepler-1311,d,,Gaia DR2 2102877015319104640,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,197.5110016,,9.658,0.862,,,,,,,,,1.67,,0.3607,2826,Gas Giant
Kepler-132 d,Kepler-132,d,,,2,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,18.010199,0.136,1.55,0.138,,,,,2.91,,,,1.18,,,1140,Super Earth
Kepler-1321 d,Kepler-1321,d,,Gaia DR2 2128141834020807680,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,5.72092009,0.053,2.7,,,,0.0,625.0,2.7756,10.4,0.041,,0.6,,,2509,Neptune-Like
Kepler-138 d,Kepler-138,d,,Gaia DR2 2102053446751282944,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,23.0923,,1.212,0.108,0.64,2.1,,,,,0.0251,,0.44,,9.5,218,Super Earth
Kepler-1388 d,Kepler-1388,d,,Gaia DR2 2107617246162706048,1,4,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,20.9568158,,,,,,,,,,,,0.6,,3.828,1480,Neptune-Like
Kepler-142 d,Kepler-142,d,,Gaia DR2 2128724678262662144,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,41.809118,0.2361,1.67,,,,0.0,582.0,7.797,41.48,0.01252,,1.23,,0.7722,1790,Neptune-Like
Kepler-1468 d,Kepler-1468,d,,Gaia DR2 2077389820395188736,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,19.59059906,0.1434,1.7,,,,0.0,687.0,6.665,22.72,0.01598,,0.98,,0.5782,6194,Neptune-Like
Kepler-148 d,Kepler-148,d,,Gaia DR2 2127828988601389440,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,51.84688575,,,,,,,,,,,,0.85,,1.9016,2580,Gas Giant
Kepler-149 d,Kepler-149,d,,Gaia DR2 2100015089629466112,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,160.018032,0.5463,3.54,,,,0.0,301.0,5.101,187.3,0.03896,,0.83,,4.856,1862,Neptune-Like
Kepler-150 d,Kepler-150,d,,Gaia DR2 2102063136195478656,1,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,12.56093,0.1045,2.88,,,,0.0,772.0,3.7158,26.563,0.02834,,0.93,,2.2471,2906,Neptune-Like
Kepler-1530 d,Kepler-1530,d,,Gaia DR2 2130991596358782464,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,9.20761013,,,,,,,,,,,,0.82,,2.3759,1598,Neptune-Like
Kepler-154 d,Kepler-154,d,,Gaia DR2 2133022669212268800,1,5,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,20.54981883,0.1415,4.04,,,,0.0,657.0,5.5484,22.9,0.03806,,0.97,,0.5405,2985,Neptune-Like
Kepler-1542 d,Kepler-1542,d,,Gaia DR2 2105526799680172032,1,4,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,5.99273738,0.0632,0.91,,,,0.0,1010.0,2.6502,15.08,0.00779,,1.06,,1.8074,1302,Terrestrial
Kepler-157 d,Kepler-157,d,,Gaia DR2 2052941389074846336,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,7.02573474,0.0698,1.56,,,,0.0,969.0,2.245,14.56,0.01413,,1.01,,1.1825,2523,Super Earth
Kepler-160 d,Kepler-160,d,,Gaia DR2 2102587087846067712,1,3,0,Transit Timing Variations,2020,Space,Kepler,0.95 m Kepler Telescope,30.0,0.17,,,100.0,,,,,,,,1.12,,1.2,3056,Gas Giant
Kepler-164 d,Kepler-164,d,,Gaia DR2 2130889204338693504,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,28.986769,,,,,,,,,,,,1.02,,1.5087,2905,Neptune-Like
Kepler-166 d,Kepler-166,d,,Gaia DR2 2129025841368107136,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,1.55400393,0.0246,1.58,,,,0.0,1326.0,1.7696,6.791,0.01902,,0.76,,2.453,1968,Super Earth
Kepler-1669 d,Kepler-1669,d,,Gaia DR2 2073652546016392448,1,3,0,Transit,2023,Space,Kepler,0.95 m Kepler Telescope,4.72941177,0.0468,1.22,,,,0.0,669.0,2.234,16.04,0.01851,,0.6,,3.4878,1772,Super Earth
Kepler-167 d,Kepler-167,d,,Gaia DR2 2051933102555095936,2,4,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,21.80379,0.1404,1.238,0.11,,,0.0,538.0,,,,,0.75,7.1,2.6,1115,Super Earth
Kepler-169 d,Kepler-169,d,,Gaia DR2 2103788854053938816,1,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,8.348125,,,,,,,,,,,,0.77,,2.46,1326,Super Earth
Kepler-171 d,Kepler-171,d,,Gaia DR2 2076955822541823744,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,39.595519,,2.204,0.197,,,,,,,,,0.94,,,2817,Super Earth
Kepler-172 d,Kepler-172,d,,Gaia DR2 2104506319750394624,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,14.627119,0.1132,2.21,,,,0.0,735.0,3.606,28.2,0.02014,,1.01,,1.9866,2702,Neptune-Like
Kepler-174 d,Kepler-174,d,,Gaia DR2 2106008493152187392,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,247.35373,,2.572,0.229,,,,,,,,,0.73,,,1255,Neptune-Like
Kepler-176 d,Kepler-176,d,,Gaia DR2 2078286197246582016,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,25.751974,0.1604,2.9,,,,0.0,539.0,2.914,38.5,0.03027,,0.88,,1.6276,1720,Super Earth
Kepler-178 d,Kepler-178,d,,Gaia DR2 2130634667395736704,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,96.678988,0.3962,3.29,,,,0.0,392.0,5.6957,126.0,0.02804,,1.08,,4.0489,2335,Neptune-Like
Kepler-18 d,Kepler-18,d,,Gaia DR2 2079295583282164992,1,3,0,Transit,2011,Space,Kepler,0.95 m Kepler Telescope,14.85888,,6.0,0.535,14.9,0.3,,,,,,,,,,1412,Neptune-Like
Kepler-184 d,Kepler-184,d,,Gaia DR2 2125831210335846016,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,29.022358,,,,,,,,,,,,0.87,,2.0362,1991,Neptune-Like
Kepler-186 d,Kepler-186,d,,Gaia DR2 2079000330051813504,1,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,13.342996,,,,,,,,,,,,0.55,,4.6592,579,Super Earth
Kepler-19 d,Kepler-19,d,,Gaia DR2 2051106987063242880,1,3,0,Radial Velocity,2017,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,62.95,,,,22.5,,0.05,,,,,,0.86,1.9,,713,Neptune-Like
Kepler-191 d,Kepler-191,d,,Gaia DR2 2126648731589350272,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,5.94504102,0.0599,2.69,,,,0.0,857.0,2.7004,11.63,0.02842,,0.87,,0.8421,1939,Neptune-Like
Kepler-192 d,Kepler-192,d,,Gaia DR2 2130243550494676480,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,6.47027579,,1.02,0.091,,,,,3.241,,0.00999,,0.94,6.76,,2125,Super Earth
Kepler-194 d,Kepler-194,d,,Gaia DR2 2129234336259850240,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,52.814973,,,,,,,,,,,,1.07,,1.1889,3581,Neptune-Like
Kepler-196 d,Kepler-196,d,,Gaia DR2 2104094071610116608,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,122.0800018,,2.661,0.237,,,,,,,,,0.77,,0.9479,1472,Neptune-Like
Kepler-197 d,Kepler-197,d,,Gaia DR2 2135179533070399232,2,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,15.677563,,,,,,,,,,,,1.12,,,1078,Super Earth
Kepler-198 d,Kepler-198,d,,Gaia DR2 2052852912747829760,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,1.31184443,,,,,,,,2.0322,,,,0.95,,1.6273,1616,Super Earth
Kepler-1987 d,Kepler-1987,d,,Gaia DR2 2078000289864478976,1,4,0,Transit,2023,Space,Kepler,0.95 m Kepler Telescope,5.64491415,0.0571,2.95,,,,0.0,749.0,2.3168,14.74,0.03706,,0.73,,1.9021,1943,Neptune-Like
Kepler-20 d,Kepler-20,d,,Gaia DR2 2102548708017562112,2,6,0,Transit,2011,Space,Kepler,0.95 m Kepler Telescope,77.611455,,,,,,,,7.6201,,,,0.91,,1.7669,922,Super Earth
Kepler-203 d,Kepler-203,d,,Gaia DR2 2076792648144511104,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,11.32972,0.099,1.18,,,,0.0,793.0,3.445,25.0,0.0119,,0.91,0.5,,2294,Super Earth
Kepler-206 d,Kepler-206,d,,Gaia DR2 2101715862321812736,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,23.44281,,1.236,0.11,,,,,,,,,1.09,,,1939,Super Earth
Kepler-207 d,Kepler-207,d,,Gaia DR2 2101898759208960640,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,5.868075,,3.96,0.353,,,,,,,,,1.71,,,2855,Neptune-Like
Kepler-208 d,Kepler-208,d,,Gaia DR2 2077750803804146176,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,11.131786,,,,,,,,,,,,1.32,,0.6794,2529,Super Earth
Kepler-215 d,Kepler-215,d,,Gaia DR2 2079885608708649344,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,30.864423,0.1798,2.45,,,,0.0,600.0,2.7942,75.0,0.02224,,1.01,,8.363,1585,Super Earth
Kepler-217 d,Kepler-217,d,,Gaia DR2 2128268380936413568,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,3.88689525,,,,,,,,,,,,1.79,,0.3447,3603,Super Earth
Kepler-218 d,Kepler-218,d,,Gaia DR2 2080452613110460928,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,124.5244647,0.4853,2.78,,,,0.0,357.0,9.598,101.06,0.02421,,1.05,,1.2591,2141,Neptune-Like
Kepler-219 d,Kepler-219,d,,Gaia DR2 2127771917075703424,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,47.903645,0.2709,2.56,,,,0.0,565.0,5.756,63.6,0.01761,,1.33,,2.1205,2567,Super Earth
Kepler-220 d,Kepler-220,d,,Gaia DR2 2129084935820532608,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,28.122397,0.163,0.98,0.087,,,,,4.103,,,,0.67,,,558,Terrestrial
Kepler-221 d,Kepler-221,d,,Gaia DR2 2080344586094498432,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,10.04156,,2.835,0.253,,,,,,,,,0.77,,,1256,Neptune-Like
Kepler-222 d,Kepler-222,d,,Gaia DR2 2130460394803778816,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,28.081912,,,,,,,,,,,,0.85,,1.9969,2475,Neptune-Like
Kepler-223 d,Kepler-223,d,,Gaia DR2 2086337508581280256,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,14.78869,0.116,2.98,0.266,,,,,5.967,,,,1.02,,,6065,Neptune-Like
Kepler-224 d,Kepler-224,d,,Gaia DR2 2129161734133025408,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,11.349393,0.089,2.3,0.205,,,,,3.114,,,,0.68,,,2551,Neptune-Like
Kepler-226 d,Kepler-226,d,,Gaia DR2 2128504397979254528,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,8.109044,0.0759,1.19,,,,0.0,799.0,3.567,16.8,0.01356,,0.81,,1.3649,3197,Super Earth
Kepler-228 d,Kepler-228,d,,Gaia DR2 2086660283961964416,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,11.094286,,3.8,0.339,,,,,4.5483,,0.03785,,0.92,4.07,,5364,Neptune-Like
Kepler-229 d,Kepler-229,d,,Gaia DR2 2131114947819394816,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,41.194912,0.217,3.86,,,,0.0,439.0,4.6297,70.75,0.04169,,0.85,,3.9471,2695,Neptune-Like
Kepler-23 d,Kepler-23,d,,Gaia DR2 2135019107451751168,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,15.274299,0.128,2.81,,,,0.0,1036.0,6.754,17.0,0.01376,,1.87,4.9,,2726,Super Earth
Kepler-235 d,Kepler-235,d,,Gaia DR2 2100082125479729792,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,20.060548,0.1155,1.99,,,,0.0,350.0,3.3264,43.2,0.03798,,0.48,,3.8004,1396,Super Earth
Kepler-238 d,Kepler-238,d,,Gaia DR2 2100624562669914240,1,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,13.233549,,3.615,0.323,,,,,,,,,1.63,,,5867,Neptune-Like
Kepler-24 d,Kepler-24,d,,Gaia DR2 2052823535171095296,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,4.244384,,1.72,0.153,,,,,3.018,,0.01352,,1.11,6.17,,3773,Super Earth
Kepler-244 d,Kepler-244,d,,Gaia DR2 2102469921138142208,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,20.050401,0.1385,2.78,,,,0.0,591.0,4.826,19.25,0.03169,,0.8,,0.3355,3380,Super Earth
Kepler-245 d,Kepler-245,d,,Gaia DR2 2101768089124657664,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,36.277108,0.202,3.03,0.27,,,,,4.804,,,,0.8,,,2810,Neptune-Like
Kepler-247 d,Kepler-247,d,,Gaia DR2 2102911576914748032,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,20.477912,,,,,,,,3.3347,,,,0.84,,1.8999,2165,Neptune-Like
Kepler-249 d,Kepler-249,d,,Gaia DR2 2078807228323035008,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,15.368459,0.09198,1.33,0.119,,,,336.0,,,0.029,,0.42,,,621,Super Earth
Kepler-25 d,Kepler-25,d,,Gaia DR2 2100451630105041152,2,3,0,Radial Velocity,2014,Ground,W. M. Keck Observatory,10 m Keck I Telescope,122.4,,,,71.9,,0.13,,,,,,1.32,,,793,Gas Giant
Kepler-250 d,Kepler-250,d,,Gaia DR2 2126903680847794048,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,17.648312,0.1257,2.23,,,,0.0,573.0,2.0201,68.2,0.02564,,0.8,,19.2983,2481,Neptune-Like
Kepler-251 d,Kepler-251,d,,Gaia DR2 2078832551450444032,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,30.133001,,3.003,0.268,,,,,,,,,0.83,,,3016,Neptune-Like
Kepler-253 d,Kepler-253,d,,Gaia DR2 2126576679217244160,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,18.119869,0.1291,3.17,,,,0.0,569.0,4.2774,29.41,0.0367,,0.79,,1.4653,2735,Neptune-Like
Kepler-254 d,Kepler-254,d,,Gaia DR2 2130250731680096384,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,18.746477,,,,,,,,3.8053,,,,0.91,,1.8229,4532,Neptune-Like
Kepler-255 d,Kepler-255,d,,Gaia DR2 2080202611655694336,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,1.04562266,,1.323,0.118,,,,,,,,,0.93,,,3433,Super Earth
Kepler-256 d,Kepler-256,d,,Gaia DR2 2128250926189039488,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,5.839172,0.0651,1.65,,,,0.0,1008.0,3.142,14.05,0.01565,,0.96,,1.5373,3348,Neptune-Like
Kepler-257 d,Kepler-257,d,,Gaia DR2 2080246282881778048,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,24.664551,0.16,4.95,0.442,,,,,2.655,,,,1.04,,,2545,Neptune-Like
Kepler-26 d,Kepler-26,d,,Gaia DR2 2107317358665730688,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,3.543919,,,,,,,,,,,,0.46,,10.1,1094,Super Earth
Kepler-265 d,Kepler-265,d,,Gaia DR2 2101776885215761152,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,43.130617,0.236,2.49,0.222,,,,,3.066,,,,1.1,,,4176,Neptune-Like
Kepler-267 d,Kepler-267,d,,Gaia DR2 2085626983551485440,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,28.464515,,,,,,,,2.9048,,,,0.55,,4.6928,864,Neptune-Like
Kepler-27 d,Kepler-27,d,,Gaia DR2 2053586321364864640,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,6.54628992,,,,,,,,,,,,0.78,,2.7691,3406,Neptune-Like
Kepler-271 d,Kepler-271,d,,Gaia DR2 2105343799713595904,1,3,0,Transit,2016,Space,Kepler,0.95 m Kepler Telescope,5.24972541,0.0554,0.71,,,,0.0,978.0,2.766,14.41,0.00722,,0.9,,2.0549,1319,Terrestrial
Kepler-272 d,Kepler-272,d,,Gaia DR2 2085701097508446464,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,10.937304,,,,,,,,,,,,1.18,,0.8395,2901,Neptune-Like
Kepler-275 d,Kepler-275,d,,Gaia DR2 2051950454223150720,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,35.676062,,,,,,,,6.0306,,,,1.44,,0.5623,6635,Neptune-Like
Kepler-276 d,Kepler-276,d,,Gaia DR2 2052304325169514880,1,3,0,Transit,2013,Space,Kepler,0.95 m Kepler Telescope,48.648,,2.74,0.244,18.4,,,,,,,,1.03,,,3734,Super Earth
Kepler-279 d,Kepler-279,d,,Gaia DR2 2102456726998624640,1,3,0,Transit,2013,Space,Kepler,0.95 m Kepler Telescope,54.414,,,,,,,,,,,,1.35,,0.8084,3383,Neptune-Like
Kepler-281 d,Kepler-281,d,,Gaia DR2 2078404532186285568,1,3,0,Transit,2021,Space,Kepler,0.95 m Kepler Telescope,148.2720032,0.5456,4.52,,,,0.0,321.0,4.09,159.3,0.04682,,0.88,,3.4774,5693,Neptune-Like
Kepler-282 d,Kepler-282,d,,Gaia DR2 2106739943262307200,1,4,0,Transit,2013,Space,Kepler,0.95 m Kepler Telescope,24.806,0.171,2.46,,,,0.0,653.0,5.5428,23.3,0.02273,,0.99,0.4,,4363,Super Earth
Kepler-286 d,Kepler-286,d,,Gaia DR2 2129503716608032256,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,5.914323,0.065,1.46,,,,0.0,995.0,2.5635,17.1,0.01446,,0.93,0.5,,4001,Super Earth
Kepler-288 d,Kepler-288,d,,Gaia DR2 2101215309651322880,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,56.633742,0.2926,3.68,,,,0.0,570.0,6.172,68.6,0.02216,,1.52,,1.9004,3895,Neptune-Like
Kepler-289 d,Kepler-289,d,,Gaia DR2 2078515170549178880,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,66.0634,0.33,2.68,0.239,4.0,1.2,,,3.557,70.7,0.0246,,1.0,0.65,1.58,2298,Neptune-Like
Kepler-290 d,Kepler-290,d,,Gaia DR2 2105538623730974848,1,3,0,Transit,2023,Space,Kepler,0.95 m Kepler Telescope,0.76401755,0.0154,0.89,,,,0.0,1596.0,1.134,5.06,0.01075,,0.76,,4.2052,2266,Terrestrial
Kepler-292 d,Kepler-292,d,,Gaia DR2 2077140987172577408,1,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,7.055679,0.0701,2.57,,,,0.0,879.0,3.1536,17.53,0.02571,,0.92,,2.0474,3446,Neptune-Like
Kepler-295 d,Kepler-295,d,,Gaia DR2 2106402496271967360,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,33.884054,,,,,,,,6.51,,,,2.38,,,5542,Super Earth
Kepler-296 d,Kepler-296,d,,Gaia DR2 2132069633148965888,2,5,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,19.850291,,1.65,0.147,,,,,2.9233,,0.04073,,0.37,4.37,,545,Neptune-Like
Kepler-297 d,Kepler-297,d,,Gaia DR2 2131748747552136960,1,3,0,Transit,2023,Space,Kepler,0.95 m Kepler Telescope,150.0189511,,,,,,,,,,,,0.89,,2.0667,2257,Gas Giant
Kepler-298 d,Kepler-298,d,,Gaia DR2 2143758128946411904,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,77.473633,,,,,,,,,,,,0.69,,3.057,1690,Neptune-Like
Kepler-299 d,Kepler-299,d,,Gaia DR2 2131737340118958336,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,15.054786,,,,,,,,,,,,1.0,,1.4125,3432,Super Earth
Kepler-30 d,Kepler-30,d,,Gaia DR2 2100243616248608896,1,3,0,Transit,2012,Space,Kepler,0.95 m Kepler Telescope,143.34394,0.5336,8.9,,,,0.0,308.0,8.9302,125.8,0.09404,,0.87,,1.8345,2982,Neptune-Like
Kepler-301 d,Kepler-301,d,,Gaia DR2 2131867357368794624,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,13.751243,,,,,,,,,,,,0.96,,1.5949,2346,Super Earth
Kepler-304 d,Kepler-304,d,,Gaia DR2 2076565805151925760,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,9.653471,,,,,,,,,,,,0.71,,2.9409,1418,Neptune-Like
Kepler-305 d,Kepler-305,d,,Gaia DR2 2073547954981763328,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,16.738661,,2.7,0.241,9.1,2.5,,,,,,,,,,2833,Neptune-Like
Kepler-306 d,Kepler-306,d,,Gaia DR2 2102067396802935680,1,4,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,17.326644,0.1203,2.23,,,,0.0,535.0,4.269,21.64,0.0283,,0.72,,0.6387,2530,Neptune-Like
Kepler-31 d,Kepler-31,d,,Gaia DR2 2128013019361703936,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,87.6451,0.411,4.2,,,,0.0,480.0,9.2599,46.3,0.03332,,1.15,0.28,,5429,Gas Giant
Kepler-310 d,Kepler-310,d,,Gaia DR2 2127798442794047104,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,92.876125,0.387,2.38,,,,0.0,380.0,7.048,62.1,0.02552,,0.85,,0.5251,1964,Super Earth
Kepler-311 d,Kepler-311,d,,Gaia DR2 2119534646538533888,1,3,0,Transit,2023,Space,Kepler,0.95 m Kepler Telescope,232.040326,0.7319,2.01,,,,0.0,316.0,11.751,135.2,0.01702,,1.08,,0.868,2540,Super Earth
Kepler-319 d,Kepler-319,d,,Gaia DR2 2101230049979183232,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,31.781925,,,,,,,,3.994,,,,0.87,,2.1515,1642,Neptune-Like
Kepler-32 d,Kepler-32,d,,Gaia DR2 2080287892525359872,1,5,0,Transit,2012,Space,Kepler,0.95 m Kepler Telescope,22.7802,0.128,2.7,0.241,,,,340.0,,,,,0.53,2.0,,1056,Neptune-Like
Kepler-325 d,Kepler-325,d,,Gaia DR2 2133021810218800384,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,38.715185,,,,,,,,,,,,0.8,,2.7611,2685,Neptune-Like
Kepler-326 d,Kepler-326,d,,Gaia DR2 2128098197152438144,1,3,0,Transit,2014,Space,Kepler,0.95 m Kepler Telescope,6.766888,,,,,,,,,,,,1.04,,1.1103,1591,Super Earth
